iter	RMSE
270	482.2093652
271	480.4523901
272	479.861218
273	478.1230558
274	476.7668074
275	474.6974368
276	473.1648627
277	471.6196471
278	470.2178896
279	468.9258454
280	467.8737652
281	466.6274337
282	466.0987677
283	465.6022597
284	463.4969799
285	463.1929445
286	460.8594441
287	458.3755569
288	456.1254591
289	455.2202191
290	453.7797073
291	451.8637209
292	450.5867348
293	449.9748913
294	449.1113305
295	448.7025809
296	448.2641159
297	446.7751518
298	444.5259562
299	442.8712775
300	440.3738269
301	439.3158424
302	438.7645125
303	436.5205307
304	434.8523096
305	433.9235158
306	433.4404556
307	432.407482
308	431.3398425
309	429.8303055
310	428.8477641
311	428.4354317
312	428.0977807
313	427.1160849
314	426.535491
315	425.6509841
316	423.6030247
317	423.210126
318	421.1917253
319	420.5661102
320	419.491581
321	418.0768199
322	417.0241317
323	416.169291
324	414.3650104
325	413.4807057
326	411.3525646
327	409.8802785
328	409.4851741
329	408.0309315
330	405.9020138
331	404.6343644
332	403.8074032
333	403.0547642
334	402.2811943
335	401.2101953
336	399.902634
337	399.4519873
338	397.8407588
339	396.2405089
340	394.6556784
341	393.8935672
342	392.1824914
343	391.0143201
344	389.599468
345	388.8904683
346	388.1633526
347	387.2966385
348	386.8846124
349	385.7292704
350	384.2869216
351	382.6403649
352	382.3301355
353	381.6320283
354	380.9246733
355	380.5460888
356	379.7086475
357	379.0586187
358	378.6016608
359	376.8674999
360	375.2548577
361	373.8699325
362	372.631397
363	372.3529375
364	370.7052131
365	369.2164275
366	368.736006
367	368.3729725
368	366.9872299
369	366.1523118
370	365.8010118
371	364.5668942
372	362.3334713
373	361.665847
374	361.2620224
375	359.8027271
376	359.0447962
377	358.1569927
378	356.8688808
379	355.6500176
380	354.4570194
381	353.4123319
382	352.7435785
383	352.3653399
384	351.6228124
385	351.0607221
386	349.8994031
387	348.5929613
388	347.7692343
389	347.1344279
390	346.687731
391	345.7356679
392	344.429301
393	343.7304947
394	343.4556545
395	341.8442636
396	340.9598226
397	340.6172526
398	339.2166853
399	337.6243242
400	336.0925654
401	334.4820251
402	333.3264721
403	332.6334409
404	331.488534
405	330.4562227
406	328.7990105
407	327.805425
408	326.7010217
409	325.5227168
410	324.6351637
411	323.3808541
412	322.7504906
413	321.7195897
414	320.0230417
415	319.2780945
416	318.3955782
417	317.2260428
418	316.5615878
419	315.9568034
420	314.6986889
421	313.7859184
422	313.3456048
423	312.6270299
424	311.5573481
425	310.274538
426	309.132888
427	307.9417398
428	307.4787767
429	306.653654
430	305.8185019
431	304.7495973
432	303.5423487
433	302.8195516
434	301.983289
435	301.708657
436	300.3004053
437	299.6415067
438	299.085285
439	297.7668021
440	297.4826713
441	296.8010776
442	295.6695229
443	294.8087318
444	294.0417851
445	293.7510166
446	293.440042
447	292.3533381
448	290.7878891
449	290.1859153
450	289.5880666
451	288.4153461
452	287.9071721
453	287.3487669
454	286.3648413
455	285.013842
456	284.0488473
457	282.8069628
458	281.2950032
459	280.8517854
460	280.3601053
461	280.0919463
462	279.2137785
463	278.6551788
464	277.4293823
465	277.0279999
466	276.166194
467	275.1601592
468	274.5373505
469	274.0618294
470	273.1441792
471	272.3774644
472	272.1304448
473	271.7478583
474	271.040975
475	270.247787
476	269.0244461
477	268.7565874
478	268.4489906
479	268.0778191
480	267.7479739
481	266.8939073
482	265.8793594
483	265.6232603
484	264.9260759
485	264.2034898
486	263.8477523
487	263.45578
488	262.847768
489	261.8041668
490	261.3243329
491	260.8002388
492	259.955977
493	259.4774621
494	258.9236382
495	258.2723291
496	257.9037179
497	257.7020503
498	256.6345186
499	256.1315771
500	254.8047137
501	254.4733711
502	253.7429666
503	252.968974
504	251.864897
505	251.1487502
506	250.3477797
507	249.6495839
508	249.1929295
509	248.2983437
510	247.9224586
511	247.5055004
512	246.3258329
513	245.467574
514	245.1404586
515	243.925227
516	243.4899283
517	242.3542052
518	241.3109414
519	240.6046428
520	239.8098107
521	239.5111245
522	238.9451167
523	237.8242112
524	236.7133834
525	236.4043135
526	236.2413621
527	235.651349
528	234.5169026
529	233.416996
530	232.503571
531	232.1251262
532	231.5029409
533	230.8227321
534	230.492403
535	229.5737492
536	228.8691276
537	228.1632538
538	227.7878834
539	227.3071368
540	226.2807069
541	225.4295993
542	224.6228757
543	223.7700307
544	223.1256284
545	222.7410943
546	222.1262509
547	221.7945605
548	221.0524857
549	220.6427192
550	220.1664232
551	219.5590723
552	219.279135
553	218.7595031
554	217.8814371
555	217.5349172
556	217.3046874
557	217.0342645
558	216.6224259
559	216.2357149
560	215.266529
561	215.0970435
562	214.005278
563	212.9829921
564	211.8818232
565	211.0224629
566	210.3807604
567	209.8514012
568	208.9496341
569	208.6864213
570	207.8340096
571	207.5566698
572	206.9771047
573	206.1782788
574	205.3084535
575	204.9548613
576	204.5679885
577	203.983513
578	203.6290346
579	202.9206124
580	201.9542293
581	201.4768371
582	200.4494107
583	199.6047717
584	199.1304482
585	198.9690304
586	198.3814702
587	197.5306205
588	196.9527881
589	196.7299879
590	196.0544039
591	195.3170583
592	194.4608723
593	193.8216124
594	193.5541333
595	192.9209276
596	191.9187988
597	191.093106
598	190.6488423
599	189.8599427
600	189.2221371
601	188.4617397
602	188.1995551
603	187.6562911
604	187.3521744
605	187.0641164
606	186.3868005
607	186.0239389
608	185.3125259
609	184.4347079
610	183.6634594
611	183.0549569
612	182.7220092
613	181.9954309
614	181.6375411
615	181.0734305
616	180.4920682
617	180.2498003
618	179.6798305
619	178.9639407
620	178.2737645
621	177.7270411
622	177.3028243
623	176.6055411
624	176.074911
625	175.9011849
626	175.4646258
627	175.2009702
628	174.5755019
629	174.2150912
630	173.8483782
631	173.5764923
632	173.2528798
633	172.8742004
634	172.2414624
635	171.7289204
636	171.2761235
637	170.779992
638	170.2416039
639	169.8876487
640	169.5943215
641	169.023871
642	168.5075347
643	167.8146682
644	167.5941099
645	167.1990375
646	166.8595964
647	166.6704749
648	166.441396
649	165.8456832
650	165.6913727
651	165.2392608
652	164.5298166
653	164.0996697
654	163.7656871
655	163.1243649
656	162.9984091
657	162.7789744
658	162.4245769
659	161.8032659
660	161.2074421
661	160.9401471
662	160.403144
663	159.7136892
664	159.5168527
665	159.3502017
666	158.6688436
667	158.4373351
668	157.92079
669	157.6473737
670	157.0520121
671	156.5022323
672	156.0799736
673	155.9814376
674	155.7476157
675	155.5351043
676	155.3385748
677	154.8007588
678	154.261352
679	153.7427389
680	153.2367132
681	152.7056523
682	152.4888493
683	151.9722407
684	151.7600043
685	151.6362564
686	150.9981945
687	150.3500486
688	149.7356577
689	149.6205316
690	149.1450429
691	148.9753502
692	148.6771761
693	148.5912728
694	148.1616789
695	147.67347
696	147.2949383
697	146.7996839
698	146.2604538
699	146.0343578
700	145.8547267
701	145.2671055
702	144.785393
703	144.1857787
704	144.0180057
705	143.8988899
706	143.7218857
707	143.3445921
708	143.1006879
709	142.5873899
710	142.406298
711	141.6798677
712	141.1718479
713	140.46724
714	139.981664
715	139.8749028
716	139.2931487
717	138.8370192
718	138.6645698
719	138.5820423
720	138.0651518
721	137.8459368
722	137.6688394
723	137.2817994
724	136.8486803
725	136.2597979
726	135.7625446
727	135.3865914
728	134.6208036
729	134.2532038
730	133.918034
731	133.4431756
732	133.0024388
733	132.7676353
734	132.5980377
735	132.12661
736	132.0047754
737	131.8475043
738	131.6891369
739	131.2369961
740	130.909192
741	130.2971756
742	129.8576595
743	129.5222886
744	129.2732849
745	128.7109174
746	128.2011001
747	127.9625381
748	127.8533709
749	127.5653577
750	127.3016536
751	127.1733988
752	126.9544857
753	126.7963382
754	126.6316613
755	126.3280572
756	125.8577078
757	125.4489792
758	124.9500228
759	124.5600031
760	124.4437393
761	124.0129961
762	123.5962701
763	123.0664446
764	122.6413241
765	122.5130049
766	122.4225564
767	121.9976672
768	121.4550349
769	121.0374926
770	120.7803357
771	120.559318
772	120.0894851
773	119.7111344
774	119.3475169
775	119.0312508
776	118.6569293
777	118.2385531
778	117.9027966
779	117.5048873
780	117.1796536
781	116.7914682
782	116.2914432
783	115.8083558
784	115.65711
785	115.2420557
786	114.8584891
787	114.561133
788	114.4045562
789	114.3312181
790	114.095078
791	113.5183707
792	113.3838033
793	113.2658015
794	113.1247992
795	112.7751139
796	112.5025322
797	112.3239649
798	111.7958254
799	111.6237155
800	111.4609399
801	111.0685064
802	110.6085112
803	110.5399366
804	110.2055396
805	110.1237922
806	109.9800498
807	109.6656238
808	109.4853139
809	109.1665165
810	108.7830061
811	108.6164939
812	108.4787291
813	108.1282413
814	107.8083848
815	107.7325578
816	107.2067356
817	106.7254432
818	106.4396323
819	106.1883494
820	105.8388686
821	105.5638095
822	105.4288952
823	105.2615218
824	104.9276909
825	104.8038918
826	104.4446093
827	104.3097617
828	103.9653195
829	103.6489628
830	103.3534083
831	103.0877656
832	102.8224058
833	102.6890143
834	102.6072025
835	102.416709
836	102.257179
837	101.9778532
838	101.7015267
839	101.60839	104.3520279
840	104.2639844
841	103.7592412
842	103.433095
843	103.3229556
844	102.9555271
845	102.7000867
846	102.6337029
847	102.2901103
848	101.9623869
849	101.6901464
850	101.5355101
851	101.4823579
852	101.385391
853	100.845683
854	100.4747538
855	100.2517724
856	100.1072251
857	99.88365767
858	99.62726839
859	99.55665606
860	99.15117785
861	99.10207809
862	98.49720106
863	98.36628517
864	98.08690073
865	97.966642
866	97.84516808
867	97.48231259
868	97.21717476
869	96.87233943
870	96.46243365
871	96.22142261
872	95.93721122
873	95.68226677
874	95.47435431
875	95.32853958
876	95.05000696
877	94.870055
878	94.5686253
879	94.25768021
880	94.01752575
881	93.88406386
882	93.59836961
883	93.31891472
884	93.01071033
885	92.7196753
886	92.56719492
887	92.29104137
888	92.10434446
889	91.99005296
890	91.726262
891	91.50191112
892	91.28410084
893	91.0717223
894	91.00858771
895	90.70153089
896	90.43133335
897	90.22064351
898	90.00580635
899	89.59728688
900	89.10515395
901	88.735524
902	88.45054366
903	88.23162059
904	88.15812027
905	87.89710971
906	87.79002169
907	87.70896429
908	87.31031595
909	87.14959075
910	87.09799406
911	86.9226242
912	86.86568676
913	86.75852179
914	86.53613055
915	86.48377411
916	86.41546026
917	86.18939644
918	86.12651786
919	85.84458876
920	85.81120032
921	85.72305578
922	85.5386908
923	85.23897517
924	84.96949139
925	84.63436531
926	84.49738495
927	84.45724498
928	84.18575853
929	84.0793436
930	83.83282144
931	83.67764398
932	83.24716686
933	83.06152327
934	82.77050656
935	82.67348166
936	82.63278331
937	82.32867461
938	82.17026463
939	82.12228087
940	82.02434869
941	81.96972805
942	81.74793671
943	81.56042097
944	80.99484602
945	80.61253024
946	80.51417779
947	80.07140488
948	80.01846552
949	79.80169922
950	79.64044801
951	79.59357203
952	79.24164161
953	79.13696394
954	78.95263145
955	78.89234665
956	78.71911191
957	78.46036056
958	78.18465767
959	78.09073474
960	77.88721053
961	77.7074813
962	77.66641694
963	77.42075198
964	77.34215455
965	77.24904117
966	77.01745332
967	76.71407532
968	76.67205222
969	76.640457
970	76.5650354
971	76.28882141
972	75.92430956
973	75.84527277
974	75.60208993
975	75.34695174
976	75.00952133
977	74.77392385
978	74.54520084
979	74.21043604
980	73.88278058
981	73.57676139
982	73.31600049
983	73.23133366
984	73.00096324
985	72.79254195
986	72.56189363
987	72.32681904
988	72.03343139
989	71.72241122
990	71.40001612
991	71.21825043
992	71.09154788
993	70.85353863
994	70.71276326
995	70.47436861
996	70.3531975
997	70.2735652
998	69.92234223
999	69.72872835
